material_type,durability_score,weight_capacity_kg,biodegradability_score,recyclability_percent,co2_emission_score,cost_per_unit_usd
Recycled Paper Wrap,5,10,9,87,4.81,0.88
Seaweed Packaging,6,4,6,79,3.3,0.87
Kraft Paper,7,11,8,87,2.13,0.9
Mycelium Packaging,8,19,7,88,2.42,0.53
Paper Foam,7,15,5,67,2.24,0.63
Cornstarch Packaging,9,3,6,78,3.77,0.57
PLA Bioplastic,7,14,7,80,2.56,0.83
Paper Foam,9,7,7,77,3.5,0.77
Molded Pulp,6,10,7,68,3.11,0.66
Honeycomb Paperboard,7,17,6,63,4.41,1.03
PLA Bioplastic,6,5,7,84,2.96,0.48
Kraft Paper,6,8,5,93,3.37,1.18
Corrugated Board,5,15,8,68,4.16,0.49
Paper Foam,6,14,6,68,3.3,1.02
Molded Pulp,6,3,7,77,4.38,0.69
Recycled Cardboard,7,9,9,70,3.99,1.09
PLA Bioplastic,7,14,8,72,3.23,0.46
Bagasse Fiber,8,12,6,97,3.51,0.7
Recycled Paper Wrap,5,14,9,68,4.9,0.67
Recycled PET,6,13,9,75,3.98,1.19
Recycled PET,5,6,7,63,4.71,1.19
Molded Pulp,9,8,6,93,2.54,0.55
Cornstarch Packaging,6,11,7,66,3.45,0.9
PLA Bioplastic,5,12,5,74,4.73,0.83
Paper Foam,8,7,9,97,2.97,0.52
Cornstarch Packaging,8,15,5,70,4.9,0.53
Recycled PET,6,11,7,91,2.29,1.19
Bagasse Fiber,9,4,8,86,4.71,0.76
Corrugated Board,8,3,9,89,3.34,0.5
Honeycomb Paperboard,8,14,8,76,2.22,0.57
Honeycomb Paperboard,9,12,6,95,4.64,0.61
Seaweed Packaging,5,4,9,78,2.76,0.81
Cornstarch Packaging,8,11,5,66,2.07,0.67
Bamboo Fiber Packaging,7,4,8,80,2.41,0.76
Kraft Paper,8,16,6,87,3.98,0.53
Corrugated Board,5,13,9,62,4.93,0.66
Honeycomb Paperboard,5,13,6,73,2.33,0.46
Corrugated Board,6,19,5,61,3.39,1.11
Molded Pulp,7,6,9,88,2.54,0.56
Corrugated Board,5,15,6,77,4.24,1.01
Biodegradable Plastic,9,9,7,96,2.35,0.68
Bagasse Fiber,7,18,9,83,2.72,0.78
Honeycomb Paperboard,7,3,9,71,2.59,0.63
Corrugated Board,9,15,9,91,3.66,0.96
Cornstarch Packaging,8,3,9,77,4.62,1.08
Recycled Cardboard,9,13,7,72,3.53,0.63
Biodegradable Plastic,9,8,5,63,2.17,0.59
Biodegradable Plastic,8,5,7,82,3.69,0.95
Kraft Paper,8,14,7,69,4.39,0.56
Corrugated Board,8,7,6,64,2.4,0.91
Seaweed Packaging,8,11,8,99,2.22,0.48
Kraft Paper,8,14,8,73,2.56,0.9
Mycelium Packaging,9,12,6,93,4.24,0.81
Kraft Paper,6,7,7,87,3.78,0.49
Recycled Cardboard,6,7,6,67,3.62,0.92
Molded Pulp,5,11,9,75,2.75,0.76
Corrugated Board,6,19,6,90,3,0.57
Paper Foam,6,12,6,66,4.9,0.68
Recycled PET,9,3,9,62,2.72,0.79
Honeycomb Paperboard,8,18,8,88,4.7,0.47
Kraft Paper,8,17,9,95,3.74,1.17
Bagasse Fiber,9,19,5,98,2.37,0.93
Recycled Paper Wrap,6,15,6,63,3.4,0.48
Bagasse Fiber,9,3,6,68,4.85,1.06
Recycled Cardboard,5,10,8,76,3.26,0.66
Recycled Cardboard,8,7,7,79,4.59,0.88
Cornstarch Packaging,7,8,9,73,2.77,0.62
Mycelium Packaging,5,16,7,88,3.71,0.99
Mycelium Packaging,5,13,5,72,4.53,0.98
Molded Pulp,9,8,9,95,4.76,0.84
Seaweed Packaging,6,13,5,76,3.46,0.59
Honeycomb Paperboard,8,15,5,63,3.92,0.6
PLA Bioplastic,7,14,5,79,2.01,0.71
Kraft Paper,5,4,9,70,2.76,0.52
Bagasse Fiber,7,5,9,81,2.84,0.67
Recycled Paper Wrap,6,6,8,67,2.28,0.95
Recycled Cardboard,6,19,6,87,2.84,1.06
Recycled Cardboard,7,8,7,89,2.96,0.67
Molded Pulp,8,9,7,92,4.91,0.59
Recycled Paper Wrap,6,17,5,92,4.01,1.07
Bamboo Fiber Packaging,7,13,9,95,3.28,1.11
Recycled Paper Wrap,5,5,9,86,4.96,0.73
Molded Pulp,7,8,5,79,2.46,0.42
Recycled Cardboard,7,4,6,92,3.43,0.96
Honeycomb Paperboard,9,16,7,84,3.94,1.03
Corrugated Board,6,11,8,78,2.17,0.41
Corrugated Board,8,14,6,80,4.15,0.88
Molded Pulp,8,15,9,92,2.3,0.87
Recycled Paper Wrap,9,14,5,62,2.42,0.7
Kraft Paper,8,14,7,73,2.48,1
Molded Pulp,7,11,5,74,4.79,0.74
Honeycomb Paperboard,9,19,9,92,4.05,0.94
Molded Pulp,5,18,5,81,3.97,0.81
Biodegradable Plastic,6,19,7,60,3.67,0.6
Mycelium Packaging,6,10,5,90,2.88,0.89
Bagasse Fiber,6,13,7,94,3.86,0.99
Recycled Paper Wrap,7,4,5,79,3.23,1.18
Seaweed Packaging,5,10,5,91,2.44,0.7
Cornstarch Packaging,9,14,7,71,4.07,0.45
Recycled PET,9,3,5,75,2.39,1.19
Cornstarch Packaging,6,15,6,67,2.57,0.9
Recycled Paper Wrap,5,19,8,73,4.45,1.16
Seaweed Packaging,5,16,6,77,3.98,0.48
PLA Bioplastic,5,16,8,89,3.89,0.67
Honeycomb Paperboard,8,18,6,92,3.25,0.51
Biodegradable Plastic,8,19,8,93,3.19,1.07
Biodegradable Plastic,6,8,5,93,4.07,1.1
Recycled PET,5,9,7,66,4.22,0.8
Recycled Cardboard,5,3,7,65,3.53,0.55
Bagasse Fiber,9,17,9,65,4.91,0.5
Corrugated Board,9,15,8,81,4.87,0.87
Paper Foam,6,4,9,67,3.24,0.81
Honeycomb Paperboard,5,17,9,96,4.46,0.96
Recycled PET,6,14,8,74,3.63,0.64
Paper Foam,9,17,7,85,3.54,0.72
Bamboo Fiber Packaging,9,16,8,98,2.16,0.42
Paper Foam,8,8,5,62,3.72,0.89
Recycled Paper Wrap,6,14,9,69,4.7,0.74
Recycled PET,6,8,9,62,4.34,1.14
Cornstarch Packaging,5,11,8,89,4.36,0.91
Cornstarch Packaging,5,6,9,81,2.48,0.72
Corrugated Board,8,19,7,62,3.08,0.61
Recycled PET,7,4,9,60,2.7,1.12
Recycled Paper Wrap,7,18,8,92,2.95,0.41
Paper Foam,7,16,7,78,3.74,0.66
Seaweed Packaging,6,10,7,95,3.09,1.15
Bamboo Fiber Packaging,6,16,9,93,3.68,0.92
PLA Bioplastic,9,4,8,90,3.32,0.83
Mycelium Packaging,6,18,9,83,2.86,0.56
Kraft Paper,6,6,5,71,2.29,1.07
Cornstarch Packaging,6,3,5,72,4.68,0.56
Honeycomb Paperboard,8,16,7,75,2.03,0.6
Seaweed Packaging,6,10,9,75,2,0.55
Honeycomb Paperboard,5,5,5,79,4.48,0.53
Recycled Cardboard,5,7,6,86,4.99,1.16
Recycled PET,9,8,5,98,4.18,0.88
Molded Pulp,8,10,9,72,2.05,0.91
Kraft Paper,5,8,9,63,2.68,1.16
Cornstarch Packaging,8,8,5,91,4.92,0.58
Bamboo Fiber Packaging,8,6,9,99,4.43,0.4
Biodegradable Plastic,9,9,9,93,3.7,0.88
Cornstarch Packaging,8,9,6,98,2.71,0.81
Seaweed Packaging,6,5,7,76,2.04,0.78
Recycled Cardboard,8,10,9,83,2.06,0.45
Honeycomb Paperboard,9,3,8,88,3.84,0.76
Paper Foam,9,3,7,87,2.07,0.63
Biodegradable Plastic,9,16,7,81,4.98,0.62
Recycled Paper Wrap,5,8,8,87,2.55,0.58
Bagasse Fiber,6,12,5,84,4.13,0.67
Paper Foam,5,16,6,62,2.47,0.68
Bagasse Fiber,7,6,9,72,3.62,0.65
Kraft Paper,6,8,5,90,2.24,1.18
PLA Bioplastic,8,18,8,72,4.3,1.15
Molded Pulp,9,3,6,77,3.75,0.86
PLA Bioplastic,7,8,6,96,2.26,1.18
Biodegradable Plastic,6,11,6,93,4.55,1.19
Corrugated Board,5,17,8,76,3.64,0.68
Biodegradable Plastic,9,14,5,80,4.76,0.76
PLA Bioplastic,5,5,9,95,4.75,1.17
Cornstarch Packaging,6,13,6,99,4.76,0.89
Seaweed Packaging,6,17,6,78,2.23,0.57
Honeycomb Paperboard,7,5,5,71,2.36,0.95
Cornstarch Packaging,8,16,6,87,4.96,0.56
Cornstarch Packaging,5,4,6,70,3.46,0.67
Seaweed Packaging,7,6,8,96,2.71,0.58
Seaweed Packaging,9,14,7,87,4.31,0.6
Kraft Paper,8,4,5,94,2.79,0.4
Paper Foam,7,19,5,74,4.18,1.1
Corrugated Board,5,5,5,75,4.51,0.64
Corrugated Board,6,12,8,66,4.35,0.47
Cornstarch Packaging,9,18,8,62,2.82,0.47
Bagasse Fiber,5,11,9,90,3.2,0.84
Kraft Paper,8,13,8,71,3.24,1.19
Recycled PET,8,17,5,67,3.47,0.52
Recycled PET,6,5,9,84,2.5,0.48
Bamboo Fiber Packaging,6,18,7,94,3.36,0.75
Cornstarch Packaging,9,14,6,71,3.53,0.85
Molded Pulp,9,7,6,80,3.6,0.64
Honeycomb Paperboard,6,9,9,85,4.46,0.64
Seaweed Packaging,6,11,7,61,3.55,0.74
Paper Foam,8,10,6,73,2.69,0.65
Recycled Paper Wrap,6,14,9,63,3.99,1.13
Seaweed Packaging,7,4,8,76,4.39,0.43
Molded Pulp,5,12,5,64,2.96,0.59
Bagasse Fiber,6,11,7,83,3.94,1.05
Biodegradable Plastic,9,10,6,66,2.44,1.07
Mycelium Packaging,7,3,5,82,3.03,0.49
Biodegradable Plastic,9,8,9,76,4.73,1.18
PLA Bioplastic,7,14,6,71,4.73,0.95
Molded Pulp,6,19,5,70,3.73,0.62
PLA Bioplastic,5,4,8,70,4.11,0.76
Cornstarch Packaging,9,13,7,93,4.56,0.64
Recycled Paper Wrap,7,13,9,96,4.88,0.52
Recycled Cardboard,8,10,6,88,3.47,0.63
Seaweed Packaging,6,17,8,95,3.68,0.86
Recycled Cardboard,5,11,7,86,3.25,1.06
Bagasse Fiber,6,17,7,81,2.22,0.69
Cornstarch Packaging,8,9,8,61,3.27,0.68
Corrugated Board,5,15,6,95,4.37,0.77
Seaweed Packaging,8,15,7,89,4.41,0.92
PLA Bioplastic,6,3,9,66,4.68,1
Corrugated Board,7,6,5,71,2.15,0.66
Paper Foam,6,6,9,62,3.58,0.87
Bamboo Fiber Packaging,6,6,7,76,2.32,0.71
Recycled Paper Wrap,6,15,5,91,2.6,0.97
Bamboo Fiber Packaging,9,4,8,67,4.7,0.53
Recycled Paper Wrap,8,17,5,82,3.49,0.61
Biodegradable Plastic,8,6,5,97,4.28,0.74
Kraft Paper,8,8,5,89,2.19,1.11
Seaweed Packaging,9,5,7,74,3.25,0.86
PLA Bioplastic,7,9,6,69,4.02,1.17
Bamboo Fiber Packaging,6,8,7,97,2.4,0.48
Bagasse Fiber,7,5,6,74,2.98,0.77
Recycled Cardboard,9,6,8,89,2.19,0.74
Recycled PET,8,12,8,85,3.95,0.88
Mycelium Packaging,6,11,8,73,4.91,1.05
Bagasse Fiber,5,8,8,62,4.48,1.07
Corrugated Board,5,13,8,95,4.92,0.94
Corrugated Board,7,9,9,85,4.54,0.91
Bamboo Fiber Packaging,8,6,7,73,4.57,1.16
Mycelium Packaging,5,7,6,90,3.73,0.71
Molded Pulp,7,6,8,73,3.55,1.07
Paper Foam,9,6,9,99,3.22,1.14
Seaweed Packaging,7,15,9,69,4.45,0.79
Recycled Paper Wrap,7,18,9,68,2.55,0.98
Honeycomb Paperboard,7,16,7,99,2.17,0.7
Recycled PET,6,13,8,77,4.84,0.53
PLA Bioplastic,7,4,9,95,2.01,0.87
Bagasse Fiber,7,16,9,95,4.93,0.56
PLA Bioplastic,6,9,8,71,4.19,0.77
Corrugated Board,6,13,7,99,2.99,1.1
Kraft Paper,9,6,9,62,4.09,0.47
Biodegradable Plastic,8,9,6,77,4.45,0.42
Recycled Cardboard,5,18,5,66,2.74,0.89
Paper Foam,5,8,5,90,4.31,0.66
Kraft Paper,7,8,5,60,4.41,0.73
Paper Foam,9,4,7,90,2.75,0.72
Molded Pulp,7,10,9,72,2.13,0.47
Honeycomb Paperboard,5,9,5,88,2.61,0.4
Bamboo Fiber Packaging,6,16,5,62,2.6,1.12
Bamboo Fiber Packaging,8,11,8,88,2.2,0.57
Corrugated Board,9,17,9,94,4.18,0.74
Biodegradable Plastic,6,14,9,74,3.14,1.18
Mycelium Packaging,8,15,8,80,4.65,1.06
Seaweed Packaging,9,9,9,78,2.76,0.49
Mycelium Packaging,9,12,6,87,3.36,0.81
Kraft Paper,5,12,7,63,3.92,0.98
Paper Foam,6,4,8,72,4.63,0.96
Recycled Paper Wrap,9,16,5,74,3.57,1.01
Molded Pulp,9,15,9,98,3.12,0.77
Recycled Paper Wrap,8,8,6,91,4.6,0.54
Biodegradable Plastic,5,11,6,62,2.93,0.77
Seaweed Packaging,7,15,7,89,2.24,0.92
Seaweed Packaging,5,11,6,79,3.34,0.89
Kraft Paper,7,15,9,61,4.36,0.46
PLA Bioplastic,6,7,9,84,2.09,0.45
Molded Pulp,6,16,6,70,3.76,1.17
Recycled PET,9,7,9,60,3.78,0.52
Seaweed Packaging,6,11,9,69,4.79,0.64
Seaweed Packaging,9,10,5,76,2.86,1.01
Kraft Paper,5,9,8,89,2.84,0.73
Corrugated Board,6,10,9,94,3.32,0.55
Cornstarch Packaging,5,5,9,78,3.07,0.77
Molded Pulp,5,17,7,93,4.21,0.86
Recycled Paper Wrap,6,10,8,91,3.93,0.76
Biodegradable Plastic,5,3,8,71,4.28,1.14
Seaweed Packaging,6,9,8,76,4.46,0.63
Seaweed Packaging,6,4,6,65,4.77,0.93
Bamboo Fiber Packaging,6,16,5,72,3.29,0.49
Honeycomb Paperboard,7,17,5,98,4.95,0.71
Corrugated Board,5,16,7,81,2.65,0.99
Seaweed Packaging,8,19,8,70,4.14,0.58
Cornstarch Packaging,6,18,8,66,3.6,0.87
Honeycomb Paperboard,5,3,9,80,4.45,0.52
Bamboo Fiber Packaging,9,9,6,60,3.43,0.48
Recycled Cardboard,6,13,6,89,4.35,0.82
Corrugated Board,6,7,7,78,4.79,0.94
Biodegradable Plastic,8,19,5,88,4.2,0.49
Paper Foam,7,13,8,94,4.33,1.13
Molded Pulp,7,10,7,79,2.2,0.58
Kraft Paper,6,12,6,95,2.61,0.5
Biodegradable Plastic,5,14,6,98,4.92,0.56
Recycled PET,9,12,6,60,4.08,0.54
Molded Pulp,9,15,8,82,3.68,0.47
Honeycomb Paperboard,5,12,8,90,3.1,1.04
PLA Bioplastic,6,19,8,94,2.13,0.8
Kraft Paper,9,18,9,81,3.11,0.71
Bagasse Fiber,7,7,5,66,3.5,1.16
Recycled Paper Wrap,5,5,6,92,2.63,0.7
Recycled Cardboard,8,17,6,95,2.52,0.53
Corrugated Board,6,4,9,66,3.53,0.62
Seaweed Packaging,5,15,6,86,3.76,0.59
PLA Bioplastic,9,10,6,61,2.72,0.8
Bamboo Fiber Packaging,6,19,8,76,3.76,0.63
Recycled PET,7,6,8,60,4.7,0.81
PLA Bioplastic,6,11,5,89,3.42,0.94
Biodegradable Plastic,6,17,6,81,4.57,1.02
Recycled Cardboard,7,11,7,87,4.78,0.97
Paper Foam,7,11,6,92,2.28,0.56
Mycelium Packaging,6,16,6,85,2.29,0.49
Molded Pulp,7,18,5,94,3.43,0.83
Molded Pulp,5,19,7,70,3.76,0.56
Biodegradable Plastic,7,15,6,66,3.28,0.47
Cornstarch Packaging,7,11,7,87,2.98,0.82
Cornstarch Packaging,6,17,8,84,3.92,0.66
Seaweed Packaging,5,9,8,90,2.01,1
Recycled PET,8,3,7,62,4.9,0.65
Bagasse Fiber,8,3,6,92,2.7,1.18
Recycled Paper Wrap,9,7,7,93,4.75,1.01
Kraft Paper,7,11,7,80,2.33,0.45
Paper Foam,7,14,8,96,2.71,0.81
Seaweed Packaging,5,8,7,78,2.7,0.85
Recycled Cardboard,8,15,9,96,4.99,0.96
Cornstarch Packaging,9,10,9,80,2.01,0.8
Bagasse Fiber,5,17,8,73,3.92,0.79
Bagasse Fiber,7,8,6,69,4.61,0.69
Recycled PET,8,8,6,66,4.02,0.62
Biodegradable Plastic,9,6,8,88,3.09,1.16
Paper Foam,6,13,6,99,4.87,0.65
Honeycomb Paperboard,8,5,5,67,4.68,0.45
Kraft Paper,9,5,9,98,3.3,0.53
Recycled PET,5,14,5,72,3.72,1.09
Recycled Paper Wrap,6,8,5,78,4.9,0.87
Recycled PET,9,8,5,70,4.95,1.02
Recycled PET,9,10,8,61,3.35,1.05
Corrugated Board,7,17,5,65,4.54,1.06
Biodegradable Plastic,8,18,7,88,2.91,0.84
Kraft Paper,7,8,6,64,3.12,0.54
Corrugated Board,6,19,8,89,2.49,0.52
Corrugated Board,9,11,7,98,2.63,0.86
Bamboo Fiber Packaging,7,7,7,95,3.97,0.69
Paper Foam,8,8,9,86,3.53,0.85
Bamboo Fiber Packaging,6,14,9,77,2.69,0.8
Paper Foam,5,13,7,95,3.21,0.88
Seaweed Packaging,7,18,9,75,3.12,0.43
Recycled Cardboard,6,19,6,64,4.96,0.43
Bagasse Fiber,5,11,6,68,4.56,0.98
Kraft Paper,7,3,9,93,3.16,0.55
Biodegradable Plastic,6,5,5,93,4.74,0.92
Seaweed Packaging,6,11,7,95,3.03,0.84
Mycelium Packaging,7,15,6,90,4,1.19
Recycled PET,6,16,9,79,4.9,1.07
Molded Pulp,9,9,9,76,3.17,0.73
Biodegradable Plastic,7,6,6,79,4.04,0.89
Recycled Cardboard,6,14,6,87,2.89,0.49
Recycled Paper Wrap,5,16,5,80,2.8,0.71
PLA Bioplastic,5,4,9,78,3.72,0.99
PLA Bioplastic,9,3,9,62,4.94,0.9
Bagasse Fiber,7,10,8,89,3.36,0.79
PLA Bioplastic,6,5,5,64,4.81,0.54
PLA Bioplastic,6,8,6,65,4.74,1.04
Molded Pulp,5,15,6,62,2.76,0.62
Cornstarch Packaging,9,11,7,83,3.21,1.06
Bamboo Fiber Packaging,5,11,6,60,3.93,0.89
Recycled Paper Wrap,5,11,9,95,3.55,0.7
Bamboo Fiber Packaging,9,17,6,74,2.29,0.43
Paper Foam,7,15,9,97,4.98,0.59
Corrugated Board,6,18,9,77,4.26,1.11
Cornstarch Packaging,7,4,5,82,3.31,1.05
Bamboo Fiber Packaging,8,16,6,88,3.85,0.86
Biodegradable Plastic,8,8,5,81,2.26,0.77
Biodegradable Plastic,8,4,9,83,3.49,0.92
Bamboo Fiber Packaging,9,10,6,72,4.79,0.77
Recycled PET,5,6,6,92,4.69,0.92
Bamboo Fiber Packaging,7,16,5,81,3.01,0.65
PLA Bioplastic,6,13,5,94,3.59,1.07
Paper Foam,8,16,9,76,4.09,0.96
Recycled Cardboard,7,14,9,81,3.02,0.66
Kraft Paper,8,18,6,64,2.19,1.06
Cornstarch Packaging,8,8,6,84,3.52,0.79
Cornstarch Packaging,6,3,8,65,3.8,0.54
Bamboo Fiber Packaging,9,14,8,76,2.02,0.46
Honeycomb Paperboard,5,9,7,90,2.29,0.96
Recycled Paper Wrap,9,10,9,76,2.62,1.09
Bagasse Fiber,7,11,7,92,3.04,1.05
Recycled Paper Wrap,9,4,7,98,3.62,0.92
Kraft Paper,7,19,5,96,2.88,0.51
Biodegradable Plastic,7,15,5,63,2.83,0.48
Bamboo Fiber Packaging,5,7,8,73,4.61,0.68
Biodegradable Plastic,6,12,7,72,2.44,1.08
Biodegradable Plastic,5,14,8,86,3.49,1.17
Honeycomb Paperboard,9,19,9,83,4.86,0.59
Biodegradable Plastic,7,8,6,86,3.88,1.01
Kraft Paper,8,5,5,67,4.15,0.86
Seaweed Packaging,8,17,9,98,3.29,0.43
Paper Foam,7,9,9,80,2.06,0.83
Mycelium Packaging,5,8,5,70,3.94,1.04
Bagasse Fiber,6,6,5,90,3.9,0.62
Bamboo Fiber Packaging,5,7,7,86,2.33,1.12
Recycled PET,7,5,8,86,3.39,0.59
Kraft Paper,7,11,9,67,4.75,0.46
PLA Bioplastic,6,8,7,92,2.62,0.53
Seaweed Packaging,9,15,7,71,3.38,1.07
Bagasse Fiber,9,6,9,94,3.38,0.73
Kraft Paper,6,4,9,93,4.43,1.04
Seaweed Packaging,9,6,6,75,4.47,0.82
Biodegradable Plastic,8,10,8,95,4.28,0.78
Recycled PET,9,15,9,61,3.1,1.05
Paper Foam,9,12,5,71,2.22,0.74
Bamboo Fiber Packaging,9,11,6,86,3.05,1.04
Cornstarch Packaging,8,3,8,76,4.04,0.48
Recycled Paper Wrap,9,15,5,79,4.11,0.91
Corrugated Board,8,17,5,80,4.9,0.96
Mycelium Packaging,6,4,8,89,3.36,1.12
Paper Foam,5,13,6,79,3.9,0.58
Cornstarch Packaging,6,16,5,67,3.62,0.88
Recycled Cardboard,5,17,7,77,2.45,0.75
Bamboo Fiber Packaging,6,16,8,77,3.38,0.71
Kraft Paper,5,18,8,77,3.63,0.49
Recycled Cardboard,5,17,9,61,4.85,0.51
Cornstarch Packaging,7,11,6,71,3.1,1.07
Paper Foam,5,7,7,91,4.94,1
Kraft Paper,5,7,7,67,3.63,0.71
Bamboo Fiber Packaging,7,13,9,69,2.73,1.06
PLA Bioplastic,9,6,5,70,2.57,0.46
Corrugated Board,9,5,5,73,2.43,0.9
Biodegradable Plastic,7,6,7,85,3.36,1.09
Kraft Paper,8,16,6,89,2.07,1.07
PLA Bioplastic,5,9,5,63,3.34,0.7
Bamboo Fiber Packaging,5,10,8,98,4.97,1
Bamboo Fiber Packaging,7,18,9,70,4.01,0.74
Kraft Paper,7,17,6,83,4.28,1.07
Paper Foam,8,9,5,81,2.36,0.82
PLA Bioplastic,9,19,7,62,3.42,1.01
Paper Foam,6,14,9,96,2.86,0.46
Seaweed Packaging,9,16,5,61,4.68,0.87
Cornstarch Packaging,5,17,7,71,2.54,0.84
Molded Pulp,7,17,5,80,3.38,0.89
Kraft Paper,8,7,9,64,3.76,0.96
Mycelium Packaging,9,18,8,66,3.54,1.13
Bamboo Fiber Packaging,8,7,8,63,4.49,1.03
Recycled Paper Wrap,9,4,7,95,2.69,0.58
Kraft Paper,5,11,8,81,3.13,1.06
Cornstarch Packaging,6,11,9,88,4.38,0.5
Recycled PET,8,6,7,68,3.58,0.9
Recycled PET,8,17,5,85,3.21,1.11
Bagasse Fiber,6,13,6,71,2.09,0.48
Mycelium Packaging,8,3,5,60,4.26,1.08
Bamboo Fiber Packaging,8,3,9,67,4.92,1.04
Recycled Cardboard,9,10,7,92,3.86,0.8
Bamboo Fiber Packaging,9,18,5,63,4.57,0.65
Seaweed Packaging,6,11,7,73,3.55,0.72
Biodegradable Plastic,5,14,8,88,2.7,1.17
PLA Bioplastic,8,7,6,73,2.04,0.56
Bamboo Fiber Packaging,5,4,9,68,3.96,0.86
Molded Pulp,6,9,5,68,3.48,0.47
Corrugated Board,6,12,6,85,4.35,0.57
Recycled PET,9,17,9,76,4.08,1.01
Corrugated Board,8,9,9,63,4.96,0.64
Corrugated Board,7,7,8,62,3.53,1.19
Paper Foam,6,17,7,88,3.28,0.8
Corrugated Board,8,17,7,84,2.86,0.81
Biodegradable Plastic,5,12,6,80,3.43,0.43
Seaweed Packaging,9,16,8,71,4.62,1.17
Recycled Cardboard,5,12,9,60,2.13,0.54
Corrugated Board,6,19,8,60,4.93,0.83
Mycelium Packaging,6,16,8,66,4.98,0.72
Kraft Paper,5,4,6,69,3.79,0.73
Mycelium Packaging,6,18,7,74,2.99,0.91
Kraft Paper,8,15,8,99,2.67,0.93
Paper Foam,6,11,8,70,2.83,0.52
Biodegradable Plastic,9,9,8,82,2.15,0.8
Recycled Cardboard,8,18,5,72,3.43,1.03
Molded Pulp,7,12,8,86,2.17,0.75
Cornstarch Packaging,6,11,8,76,4.16,0.53
Recycled Cardboard,6,9,9,72,3.12,0.65
Cornstarch Packaging,9,18,5,71,2.6,0.57
Mycelium Packaging,9,11,8,88,3.63,0.5
Bagasse Fiber,5,19,8,80,4.92,0.7
Recycled PET,5,9,6,79,4.09,0.83
Cornstarch Packaging,5,13,6,79,3.48,0.46
Seaweed Packaging,9,10,5,90,4.33,0.88
Recycled Paper Wrap,5,9,9,67,4.21,1.19
Seaweed Packaging,5,14,5,83,4.68,1.17
Bamboo Fiber Packaging,7,9,5,70,2.61,1.06
Recycled PET,5,10,6,98,4.58,0.61
Recycled PET,6,9,6,92,2.9,0.42
Kraft Paper,9,8,9,74,4.82,1.07
Biodegradable Plastic,8,11,8,63,2.84,0.44
Honeycomb Paperboard,7,15,9,60,4.78,0.56
Paper Foam,9,9,8,91,4.89,0.84
Mycelium Packaging,9,10,7,70,2.44,0.54
Recycled Paper Wrap,6,19,6,89,4.92,1.07
Cornstarch Packaging,5,19,7,96,2.26,1.02
Corrugated Board,6,18,7,78,2.66,1
Biodegradable Plastic,5,4,6,95,3.33,1.05
Recycled Paper Wrap,5,10,7,93,4.98,0.58
Paper Foam,9,19,5,66,3.47,0.98
Kraft Paper,5,15,8,79,3.65,0.68
Mycelium Packaging,7,12,9,71,4.08,0.93
Biodegradable Plastic,7,4,6,91,4.9,0.5
Paper Foam,7,4,5,61,4.35,0.96
Bagasse Fiber,9,16,9,81,2.67,1.18
Bagasse Fiber,6,18,9,99,2.91,0.43
Seaweed Packaging,8,9,9,83,2.29,0.48
Seaweed Packaging,5,14,7,90,3.93,0.5
Paper Foam,8,16,7,63,2.54,0.74
Recycled Paper Wrap,6,6,7,83,2.77,0.63
Seaweed Packaging,6,6,7,76,4.66,1.05
Mycelium Packaging,9,5,5,99,2.98,0.78
Biodegradable Plastic,7,3,7,78,3.7,0.79
Recycled Paper Wrap,7,19,6,99,3.19,0.97
Seaweed Packaging,6,9,9,97,2.22,0.69
Molded Pulp,9,18,5,93,3.09,0.68
Cornstarch Packaging,9,7,7,92,3.22,1.01
Molded Pulp,5,9,9,65,4.69,1.02
PLA Bioplastic,7,16,5,95,2.97,0.41
Bagasse Fiber,6,4,9,72,3.14,0.52
Kraft Paper,8,5,5,68,4.35,0.57
Recycled Cardboard,7,19,8,94,4.28,0.68
Cornstarch Packaging,5,18,5,93,4.39,0.63
Bagasse Fiber,9,10,7,75,4.86,0.93
Recycled Paper Wrap,6,17,9,77,4.39,1.06
Recycled Paper Wrap,7,9,9,77,3.22,0.55
Recycled Paper Wrap,8,11,9,97,4.46,0.85
Kraft Paper,5,8,6,91,3.53,0.69
Molded Pulp,5,16,6,66,2.83,0.8
Recycled Cardboard,7,16,7,82,2.91,0.9
Mycelium Packaging,8,16,8,82,2.67,1.11
Seaweed Packaging,5,6,6,77,2.43,0.55
Recycled Paper Wrap,6,6,5,66,2.55,0.47
Honeycomb Paperboard,5,17,7,99,2.19,0.9
PLA Bioplastic,8,17,8,83,4.67,0.72
Cornstarch Packaging,9,16,5,73,4.79,0.53
Biodegradable Plastic,9,3,9,64,3.76,0.49
Seaweed Packaging,7,12,6,81,4.52,0.85
Honeycomb Paperboard,8,12,5,81,2.55,0.64
Recycled Cardboard,5,12,8,69,4.71,1.2
Kraft Paper,5,4,7,85,3.52,0.72
Mycelium Packaging,9,10,5,74,2.2,0.57
Mycelium Packaging,9,3,7,97,2.42,0.9
Recycled Cardboard,6,3,9,60,2.93,0.6
Biodegradable Plastic,9,6,8,73,2.13,0.8
Cornstarch Packaging,6,9,8,95,2.93,0.79
Bamboo Fiber Packaging,5,11,6,90,2.18,0.76
Biodegradable Plastic,6,18,8,87,2.71,1.04
Mycelium Packaging,6,7,5,93,2.8,0.57
Paper Foam,7,4,5,94,4.98,1.12
Cornstarch Packaging,9,13,5,98,2.71,1.03
Recycled Cardboard,6,15,9,82,2.72,0.67
